correct_part,typo_part,count
p,o,54
.,（空）,15
m,.jp,13
（空）,o,6
.jp,m,6
j,k,4
m,（空）,3
j,c,3
（空）,a,3
o,p,3
c,（空）,2
a,（空）,2
t,（空）,2
o,a,2
c,g,2
j,n,2
m,n,2
（空）,c,2
（空）,.jp,1
t,y,1
u,（空）,1
（空）,g,1
（空）,j,1
t,r,1
t,d,1
（空）,u,1
-,^,1
r,k,1
d,o,1
c,s,1
p,oo,1
l,i,1
n,m,1
（空）,p,1
s,a,1
r,（空）,1
gr,c,1
u,.j,1
（空）,q,1
（空）,n,1
y,ies,1
p,（空）,1
（空）,y,1
l,（空）,1
j,m,1
s,（空）,1
.,",",1
c,d,1
