correct_part,typo_part,count
（空）,e,8
e,（空）,8
（空）,a,7
a,（空）,7
（空）,r,4
r,（空）,4
（空）,h,4
h,（空）,4
（空）,n,3
n,（空）,3
（空）,u,3
u,（空）,3
（空）,l,3
l,（空）,3
（空）,i,3
i,（空）,3
（空）,s,2
s,（空）,2
（空）,d,2
d,（空）,2
（空）,p,2
p,（空）,2
（空）,t,2
t,（空）,2
（空）,j,1
j,（空）,1
（空）,b,1
b,（空）,1
（空）,m,1
m,（空）,1
（空）,k,1
k,（空）,1
